Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-Calculated,Decade
17-Jun,31.88,2.256,2200.589,0.005,1980s
17-Jun,30.62,2.215,2160.596,0.005,1980s
18-Jun,31.15,2.228,2173.277,0.001,1980s
18-Jun,30.48,2.206,2151.817,0,1980s
18-Jun,26.7,2.077,2025.986,-0.006,1980s
18-Jun,24.08,2.001,1951.852,0.003,1980s
18-Jun,23.03,1.944,1896.252,-0.02,1980s
18-Jun,22.04,1.916,1868.94,-0.016,1980s
18-Jun,18.71,1.809,1764.568,-0.015,1980s
18-Jun,12.79,1.659,1618.252,0.027,1980s
18-Jun,8.98,1.504,1467.059,-0.004,1980s
18-Jun,6.45,1.426,1390.975,0,1980s
18-Jun,0.45,1.268,1236.856,0.036,1980s
18-Jun,0.1,1.197,1167.6,-0.023,1980s
18-Jun,0,1.029,1003.726,-0.188,1980s
18-Jun,17.07,1.755,1711.894,-0.016,1980s
18-Jun,1.22,1.3,1268.07,0.043,1980s
18-Jun,15.67,1.694,1652.393,-0.031,1980s
2-Jul,31.73,2.245,2189.859,-0.024,1980s
2-Jul,30.71,2.224,2169.375,-0.01,1980s
2-Jul,27.18,2.114,2062.077,0.005,1980s
2-Jul,23.9,1.994,1945.024,0.001,1980s
2-Jul,21.55,1.911,1864.063,0.001,1980s
2-Jul,19.22,1.846,1800.659,0.019,1980s
2-Jul,18.51,1.799,1754.814,-0.003,1980s
2-Jul,15.33,1.702,1660.196,0.012,1980s
2-Jul,12.88,1.614,1574.358,0.011,1980s
2-Jul,9.18,1.484,1447.551,0.012,1980s
2-Jul,6.88,1.408,1373.417,0.017,1980s
2-Jul,3.59,1.28,1248.561,0.005,1980s
2-Jul,0.54,1.119,1091.516,0.002,1980s
2-Jul,0,0.941,917.888,-0.207,1980s
16-Jul,32.19,2.308,2251.312,0.016,1980s
16-Jul,30.27,2.187,2133.284,-0.034,1980s
,3.9,,1515.57,,2020s
,3.9,,1461.9,,2020s
,4.47,,1593.868,,2020s
,4.47,,1587.015,,2020s
,5.6,,1491.56,,2020s
,5.6,,1667.636,,2020s
,8.83,,1643.054,,2020s
,8.83,,1655.739,,2020s
,8.61,,1566.764,,2020s
,8.61,,1578.362,,2020s
,8.76,,1587.08,,2020s
,16.11,,1861.126,,2020s
,16.11,,1875.972,,2020s
,14.85,,1700.884,,2020s
,14.85,,1647.738,,2020s
,14.75,,1774.571,,2020s
,15.49,,1810.029,,2020s
,19.94,,1869.17,,2020s
,20.69,,1801.83,,2020s
,22.22,,1700.159,,2020s
,24.2,,2029.895,,2020s
,24.2,,1972.201,,2020s
,27.8,,2169.207,,2020s
,27.8,,2236.143,,2020s
,28.11,,2112.507,,2020s
,28.11,,2065.281,,2020s
,28.84,,2147.057,,2020s
,28.84,,2171.551,,2020s
,29.45,,2136.7,,2020s
,29.45,,2252.323,,2020s
,30.15,,2165.619,,2020s
,30.15,,2236.079,,2020s
17-Jul,30,2.207,2152.793,-0.004,1980s
17-Jul,24.33,1.998,1948.926,-0.004,1980s
17-Jul,23.02,1.962,1913.81,0.008,1980s
17-Jul,19.66,1.831,1786.028,0,1980s
17-Jul,17.72,1.787,1743.109,0.028,1980s
17-Jul,12.34,1.573,1534.365,0.013,1980s
17-Jul,9.75,1.47,1433.895,0.005,1980s
17-Jul,3.26,1.194,1164.674,-0.032,1980s
17-Jul,1.3,1.085,1058.351,-0.069,1980s
17-Jul,0.16,1.02,994.947,-0.092,1980s
17-Jul,0,1.06,1033.965,-0.046,1980s
17-Jul,17.81,1.789,1745.059,0.027,1980s
17-Jul,2.84,1.176,1147.116,-0.035,1980s
17-Jul,0.08,0.981,956.905,-0.128,1980s
17-Jul,14.35,1.628,1588.014,-0.007,1980s
17-Jul,5.22,1.31,1277.824,0.012,1980s
